cow,cluster,python_cluster
B01,4,4
B02,4,4
B03,1,1
B04,4,4
B05,2,2
B06,2,2
B07,2,2
B08,3,3
B09,4,4
B10,1,1
B11,3,3
B12,2,2
B13,1,1
B14,1,1
B15,2,2
B16,4,4
B17,3,3
B18,3,3
B19,1,1
B20,4,4
B21,2,2
B22,3,3
B23,2,2
B24,4,4
B25,2,2
BL01,4,4
BL02,3,3
BL03,3,3
BL04,1,1
BL05,1,1
BL06,1,1
BL07,2,2
BL08,4,4
BL09,2,2
BL10,2,2
BL11,1,1
BL12,3,3
BL13,3,3
BL14,1,1
BL15,1,1
BL16,3,3
BL17,3,3
BL18,4,4
BL19,2,2
BL20,2,2
BL21,2,2
BL22,3,3
BL23,1,1
BL24,4,4
BL25,2,2
BL26,3,3
BL27,3,3
L01,4,4
L02,3,3
L03,4,4
L04,4,4
L05,1,1
L06,1,1
L07,4,4
L08,2,2
L09,3,3
L10,1,1
L11,1,1
L12,2,2
L13,3,3
L14,4,4
L15,4,4
L16,3,3
L17,2,2
L18,2,2
L19,4,4
L20,3,3
L21,4,4
L22,2,2
L23,2,2
L24,1,1
L25,1,1
L26,3,3
L27,1,1
