"cow","diet","n_obs","level_early","level_late","net_change","slope_linear","curvature","turning_week","turning_inside","dev_sd","dev_acf1","dev_skew"
"B01","barley",19,3.58,4.234,0.654,0.038545776205219,0.00163939259914491,1,0,0.104576630874514,-0.0540048182402552,-0.0374136933240334
"B02","barley",19,3.2175,3.222,0.00449999999999973,0.00376160990712079,-0.0013983488132095,10.3450184501845,1,0.131621797861468,-0.0127627534523222,-0.565160416229099
"B03","barley",14,3.5775,2.906,-0.6715,-0.0647046703296704,0.0027541208791209,14,0,0.150902574751988,0.251802515769714,0.219574817954371
"B04","barley",18,3.2775,3.34,0.0625,0.00351135190918466,0.0054153766769866,8.67579799904717,1,0.18873723711314,0.340845158831192,-0.492247718411238
"B05","barley",19,3.8225,3.41,-0.4125,-0.0185577178239716,-0.000835176175733474,1,0,0.244166132514334,0.357779517919017,0.118418665292398
"B06","barley",14,3.86,3.674,-0.186,-0.0339478021978022,-0.00201923076923073,1,0,0.219730084941124,-0.113236493157265,-0.312290467105912
"B07","barley",18,3.5975,3.258,-0.3395,-0.0250709494324046,-0.00158539731682146,1.09316517493892,1,0.249774213587644,0.0987788486820435,-0.48797489073832
"B08","barley",18,3.785,3.792,0.00699999999999967,0.00315138779610521,0.00018095617781776,1,0,0.262969594625263,0.397185203226317,0.320178834376137
"B09","barley",19,3.43,3.83,0.4,0.0251027568922307,0.00295739348370926,4.7559322033898,1,0.125551703684049,-0.130483401428815,-0.0180959489385056
"B10","barley",19,3.6775,3.93,0.2525,0.0124296034203156,0.00703081232492996,8.11606206751939,1,0.159993493610235,0.00454380621065234,0.190448760196842
"B11","barley",19,3.6525,3.572,-0.0804999999999998,0.000783724015922171,-0.000181335692171608,11.1609756097561,1,0.228985841704279,0.337036401275781,0.366068027152481
"B12","barley",12,3.7275,3.445,-0.2825,-0.043287572022905,-0.00279130944373463,1.24600982165051,1,0.224826275984297,-0.168157626219747,-0.430297542489191
"B13","barley",14,3.8,3.358,-0.442,-0.0438887362637363,0.00109203296703298,14,0,0.125983627792194,0.0946214627736983,-0.253834698144624
"B14","barley",14,3.425,2.922,-0.503,-0.0474148351648352,0.00245879120879122,14,0,0.15355166870458,-0.0107473035774525,0.389557582865172
"B15","barley",15,3.7125,3.124,-0.5885,-0.0564382676147382,-0.00143341952165481,1,0,0.16382168383508,0.12327982193748,0.278515073802371
"B16","barley",16,3.37,3.192,-0.178,-0.0112622549019608,0.000575980392156867,16,0,0.22629624793634,-0.197474668571974,-0.172505755883828
"B17","barley",19,3.425,3.614,0.189,0.0118248562582929,0.00471915081822201,7.74714151827553,1,0.250096117942162,0.352294333753362,-0.251240849907978
"B18","barley",19,3.765,3.818,0.0529999999999999,-0.00374377119268761,0.00690697331564205,9.27101387406617,1,0.248303377875559,0.349523452947258,0.0768790809657143
"B19","barley",19,3.85,3.846,-0.004,-0.016937048503612,0.0063983488132095,10.3235483870968,1,0.195557306806431,-0.140439481211073,0.0564119949476252
"B20","barley",18,3.47333333333333,3.456,-0.0173333333333332,0.00652195327891921,-0.000393212308846983,17.293170295258,1,0.19696004349786,0.12634405555221,-0.257047738314052
"B21","barley",16,3.5025,3.306,-0.1965,-0.0176313025210084,-0.00388130252100838,6.72868741542624,1,0.184140168188845,-0.365871544600683,0.229373432819219
"B22","barley",19,3.79,3.638,-0.152,-0.00637564499483998,8.2559339525271e-05,19,0,0.298243998862459,0.231000665373921,0.357693111823236
"B23","barley",14,3.745,3.256,-0.489,-0.0543365384615385,-0.00172390109890106,1,0,0.173588858271424,0.25932548486516,-0.339506952245408
"B24","barley",19,3.5025,3.722,0.2195,0.0125695120153325,0.00170647206250921,5.31710583153347,1,0.16939525157816,-0.0880083082282252,0.110488106212721
"B25","barley",15,3.415,3.112,-0.303,-0.0355237556561086,-0.00506544925662574,5.49352368798853,1,0.207050565669182,0.204380249166944,-0.915446263831262
"BL01","barley+lupins",19,3.2375,3.466,0.2285,0.0238488869231903,-0.0020735662686127,14.750693210096,1,0.222613251965219,0.260524331827038,-0.44517304496073
"BL02","barley+lupins",19,3.4025,3.664,0.2615,0.0273486657821023,-0.00162170131210379,17.4320909090909,1,0.247193657370635,0.320305541367681,0.0496388235446746
"BL03","barley+lupins",19,3.575,3.408,-0.167,-0.0130984814978623,0.0042422232050715,10.5438227628149,1,0.242109260187748,0.395523286743365,0.163974473874738
"BL04","barley+lupins",14,3.9175,3.424,-0.4935,-0.0468914835164835,0.00346840659340659,14,0,0.199614902919235,0.197891340244351,0.471243168831406
"BL05","barley+lupins",14,3.545,3.018,-0.527,-0.0656043956043956,0.000219780219780239,14,0,0.22920753625166,-0.49189084324289,0.104529209511165
"BL06","barley+lupins",19,3.655,3.676,0.0209999999999999,-0.0068339967565974,0.00556612118531624,9.61389219970865,1,0.233793145083485,-0.290996373961825,0.570197136003686
"BL07","barley+lupins",16,3.415,3.324,-0.0910000000000002,-0.0167843137254902,-0.00666666666666667,7.74117647058823,1,0.160276558371456,-0.262919962385048,0.115343279231275
"BL08","barley+lupins",19,3.23,3.48,0.25,0.0128145363408522,0.00261904761904761,6.55358851674639,1,0.222592969760003,0.145629733355697,-0.188213605395291
"BL09","barley+lupins",14,3.56,3.272,-0.288,-0.0454519230769231,-0.00109203296703297,1,0,0.207083412492409,0.190012780730426,0.0535218298753882
"BL10","barley+lupins",15,3.3825,3.31,-0.0724999999999998,-0.0337509696186167,-0.00828619909502262,6.96342272062408,1,0.26165605819068,-0.085439702462718,-0.957351441445202
"BL11","barley+lupins",19,3.5325,3.418,-0.1145,-0.0185823381984373,0.006343800678166,10.4646060887753,1,0.190538462595806,-0.15343172055771,1.12366318755375
"BL12","barley+lupins",19,3.6825,3.268,-0.4145,-0.0241385817484888,0.000420168067226884,19,0,0.242740701455759,0.251279384707989,0.0116521919934698
"BL13","barley+lupins",19,3.3625,3.936,0.5735,0.0325369305616984,0.00638065752616836,6.45034658040665,1,0.254463672155514,0.152865671556227,0.636183417945211
"BL14","barley+lupins",19,3.67,3.504,-0.166,-0.0141289989680081,0.00572239422084622,10.2345356176736,1,0.182675135833236,0.106078154484499,0.171318057240553
"BL15","barley+lupins",14,3.515,3.018,-0.497,-0.0371689560439561,0.00463598901098906,13.0087407407407,1,0.172400699731651,0.0891781139758471,0.297959743608598
"BL16","barley+lupins",19,3.0525,3.312,0.2595,0.023029043196226,-0.00279522335249892,13.1193565400844,1,0.203211382365696,0.0810358464630957,1.67689857459694
"BL17","barley+lupins",19,3.7225,3.526,-0.1965,-0.0117097154651333,0.0014425770308123,13.0586101175268,1,0.302987286945482,0.558298773628516,-0.118686619196269
"BL18","barley+lupins",17,3.0775,3.06,-0.0175000000000001,0.00130547103813863,-0.00364593465791044,9.17903105247734,1,0.174468513712522,-0.155688105247538,-0.205534428985397
"BL19","barley+lupins",15,3.3875,3.192,-0.1955,-0.0265148674854557,-0.00586457659987074,6.7394047947093,1,0.142246471121415,-0.0219330321272036,-0.0184941880121735
"BL20","barley+lupins",14,3.6425,3.21,-0.4325,-0.0555686813186813,-0.00292582417582415,1,0,0.14886039344671,0.194775750014455,0.53644522499714
