term,coef,se,z,p
Intercept,3.376263767028272,0.05037048247224299,67.02861678739698,0.0
C(cluster)[T.2],0.23972572565340483,0.056595737421253754,4.235755846223484,2.277841783922293e-05
C(cluster)[T.3],0.12633458724278895,0.056653243861376316,2.2299621104117975,0.025749958391442025
C(cluster)[T.4],-0.02980107271746544,0.057638374985045315,-0.5170352690407656,0.6051315387879127
C(diet)[T.barley+lupins],-0.12019471100962385,0.04665813085941896,-2.5760721399614304,0.00999297949173442
C(diet)[T.lupins],-0.19172853330496092,0.04621456465995878,-4.148660378295813,3.344265183365797e-05
wc,-0.023337107818495146,0.0029613767322469553,-7.880492733117421,3.2609258835028543e-15
C(cluster)[T.2]:wc,-0.00613639142844455,0.004269780133935763,-1.437168012393228,0.15067025967837672
C(cluster)[T.3]:wc,0.02173405566973275,0.003870954179310426,5.614650719943285,1.9695968621531203e-08
C(cluster)[T.4]:wc,0.031488782571981705,0.003946946034973867,7.9780119345336304,1.4870901937460179e-15
wc2,0.006879550579351832,0.0005898170988139997,11.663871042709998,1.9497214495535949e-31
C(cluster)[T.2]:wc2,-0.008807714788136502,0.0008905242240954252,-9.890483099528463,4.578132219523808e-23
C(cluster)[T.3]:wc2,-0.004685459437158632,0.0007593409336642486,-6.170429156964639,6.810488497569275e-10
C(cluster)[T.4]:wc2,-0.0051637370665598755,0.0007765300845600009,-6.649757902793635,2.935755065441362e-11
Group Var,0.39842904730478373,0.07811091283968992,5.100811561663544,3.382001544171256e-07
